componentSlug,componentName,componentId,variant,variantNote,fieldName,fieldValue
collision-component,CollisionComponent,RealityKit.Collider,Shape/Capsule.usda,3 field changes,shapeType,"""Capsule"""
collision-component,CollisionComponent,RealityKit.Collider,Shape/Capsule.usda,3 field changes,height,0.2
collision-component,CollisionComponent,RealityKit.Collider,Shape/Capsule.usda,3 field changes,radius,0.1
collision-component,CollisionComponent,RealityKit.Collider,Shape/Sphere.usda,2 field changes,group,1
collision-component,CollisionComponent,RealityKit.Collider,Shape/Sphere.usda,2 field changes,mask,4294967295
collision-component,CollisionComponent,RealityKit.Collider,Shape/Sphere.usda,2 field changes,type,"""Default"""
collision-component,CollisionComponent,RealityKit.Collider,Shape/Sphere.usda,2 field changes,extent,"(0.2, 0.2, 0.2)"
collision-component,CollisionComponent,RealityKit.Collider,Shape/Sphere.usda,2 field changes,shapeType,"""Sphere"""
collision-component,CollisionComponent,RealityKit.Collider,Shape/Sphere.usda,2 field changes,height,omitted
collision-component,CollisionComponent,RealityKit.Collider,Shape/Sphere.usda,2 field changes,radius,0.1
