componentSlug,componentName,componentId,fixturePath,fixtureName,uiSection,uiSubsection,uiLabel,structScope,fieldName,usdType,authoredValue,componentPath
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Material/Dynamic Friction.usda,Dynamic Friction,Material,,Dynamic Friction,component,dynamicFriction,double,1,RigidBody.material.dynamicFriction
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Material/Restitution.usda,Restitution,Material,,Restitution,component,m_mass,float,1,RigidBody.massFrame.m_mass
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Material/Restitution.usda,Restitution,Material,,Restitution,component,restitution,double,1,RigidBody.material.restitution
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Material/Static Friction.usda,Static Friction,Material,,Static Friction,component,m_mass,float,1,RigidBody.massFrame.m_mass
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Material/Static Friction.usda,Static Friction,Material,,Static Friction,component,staticFriction,double,1,RigidBody.material.staticFriction
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Mode/Dynamic.usda,Dynamic,Mode,,Dynamic,component,m_mass,float,1,RigidBody.massFrame.m_mass
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Mode/Kinematic.usda,Kinematic,Mode,,Kinematic,component,motionType,token,"""Kinematic""",RigidBody.motionType
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Mode/Kinematic.usda,Kinematic,Mode,,Kinematic,component,m_mass,float,1,RigidBody.massFrame.m_mass
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Mode/Static.usda,Static,Mode,,Static,component,motionType,token,"""Static""",RigidBody.motionType
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Mode/Static.usda,Static,Mode,,Static,component,m_mass,float,1,RigidBody.massFrame.m_mass
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Rotation Locked.usda,Rotation Locked,Movement Locking,,Rotation Locked,component,lockRotationX,bool,1,RigidBody.lockRotationX
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Rotation Locked.usda,Rotation Locked,Movement Locking,,Rotation Locked,component,lockRotationY,bool,1,RigidBody.lockRotationY
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Rotation Locked.usda,Rotation Locked,Movement Locking,,Rotation Locked,component,lockRotationZ,bool,1,RigidBody.lockRotationZ
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Rotation Locked.usda,Rotation Locked,Movement Locking,,Rotation Locked,component,m_mass,float,1,RigidBody.massFrame.m_mass
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Translation Locked.usda,Translation Locked,Movement Locking,,Translation Locked,component,lockTranslationX,bool,1,RigidBody.lockTranslationX
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Translation Locked.usda,Translation Locked,Movement Locking,,Translation Locked,component,lockTranslationY,bool,1,RigidBody.lockTranslationY
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Translation Locked.usda,Translation Locked,Movement Locking,,Translation Locked,component,lockTranslationZ,bool,1,RigidBody.lockTranslationZ
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Movement Locking/Translation Locked.usda,Translation Locked,Movement Locking,,Translation Locked,component,m_mass,float,1,RigidBody.massFrame.m_mass
