componentSlug,componentName,componentId,variant,variantNote,fieldName,fieldValue
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Inner Angle.usda,1 field change,isEnabled,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Inner Angle.usda,1 field change,cullMode,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Inner Angle.usda,1 field change,zFar,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Inner Angle.usda,1 field change,zNear,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,attenuationFalloffExponent,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,attenuationRadius,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,color,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,innerAngle,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,intensity,70000
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,outerAngle,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,depthBias,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,isEnabled,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,cullMode,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,zFar,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Intensity.usda,1 field change,zNear,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,attenuationFalloffExponent,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,attenuationRadius,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,color,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,innerAngle,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,intensity,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,outerAngle,120
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,depthBias,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,isEnabled,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,cullMode,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,zFar,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Outer Angle.usda,1 field change,zNear,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,ShadowBias.usda,2 field changes,attenuationFalloffExponent,omitted
