componentSlug,componentName,componentId,fieldName,fieldType,baseValue,variants,notes,risk,coverage
docking-region-component,DockingRegionComponent,RealityKit.CustomDockingRegion,max,float3,"(2.4, 1, 0)","(2.4, 1, 0)",,Low,Partial
docking-region-component,DockingRegionComponent,RealityKit.CustomDockingRegion,min,float3,"(-2.4, -1, -0)","(-2.4, -1, -0)",,Low,Partial
environment-lighting-configuration-component,EnvironmentLightingConfigurationComponent,RealityKit.EnvironmentLightingConfiguration,environmentLightingWeight,float,omitted,0.48552084,Not authored in baseline fixture.,Low,Observed
grounding-shadow-component,GroundingShadowComponent,RealityKit.GroundingShadow,enableIBLShadow,bool,omitted,1,Not authored in baseline fixture.,Low,Observed
grounding-shadow-component,GroundingShadowComponent,RealityKit.GroundingShadow,enableMeshShadow,bool,omitted,1,Not authored in baseline fixture.,Low,Observed
grounding-shadow-component,GroundingShadowComponent,RealityKit.GroundingShadow,enableReceiveIBLShadow,bool,omitted,0,Not authored in baseline fixture.,Low,Observed
grounding-shadow-component,GroundingShadowComponent,RealityKit.GroundingShadow,enableReceiveMeshShadow,bool,omitted,0,Not authored in baseline fixture.,Low,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,blendIBLsFactor,float,omitted,0.55164933,Not authored in baseline fixture.,Medium,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,blendMode,token,omitted,"""blend"", ""none""",Not authored in baseline fixture.,Medium,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,enableBlend,bool,omitted,"1, 0",Not authored in baseline fixture.,Medium,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,enableRotation,bool,omitted,1,Not authored in baseline fixture.,Medium,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,ibl,asset,omitted,@../RenderCrate-HDRI_Orbital_40_4K.hdr@,Not authored in baseline fixture.,Medium,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,iblBlend,asset,omitted,@../cayley_lookout_2k.hdr@,Not authored in baseline fixture.,Medium,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,intensityExponent,float,omitted,-6.6197915,Not authored in baseline fixture.,Medium,Observed
image-based-light-component,ImageBasedLightComponent,RealityKit.ImageBasedLight,isGlobalIBL,bool,0,0,,Medium,Observed
image-based-light-receiver-component,ImageBasedLightReceiverComponent,RealityKit.ImageBasedLightReceiver,iblEntity,rel,omitted,"</Root/Cube>, </Root/Sphere>",Not authored in baseline fixture.,Low,Observed
input-target-component,InputTargetComponent,RealityKit.InputTarget,allowsDirectInput,bool,omitted,"1, 0",Not authored in baseline fixture.,Low,Observed
input-target-component,InputTargetComponent,RealityKit.InputTarget,allowsIndirectInput,bool,omitted,"0, 1",Not authored in baseline fixture.,Low,Observed
input-target-component,InputTargetComponent,RealityKit.InputTarget,enabled,bool,omitted,"1, 0",Not authored in baseline fixture.,Low,Observed
model-sort-group-component,ModelSortGroupComponent,RealityKit.MeshSorting,group,rel,omitted,</Root/Model_Sorting_Group>,Not authored in baseline fixture.,Low,Observed
model-sort-group-component,ModelSortGroupComponent,RealityKit.MeshSorting,priorityInGroup,int,omitted,1,Not authored in baseline fixture.,Low,Observed
opacity-component,OpacityComponent,RealityKit.HierarchicalFade,opacity,float,omitted,0.50348955,Not authored in baseline fixture.,Low,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,acceleration,float3,omitted,"(1, 1, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,animationRepeatMode,token,omitted,"""AutoReverse"", ""Looping"", ""PlayOnce""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,billboardMode,token,omitted,"""BillboardYAligned"", ""Billboard"", ""Free""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthDirection,token,omitted,"""Local"", ""Constant""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthLocation,token,omitted,"""Vertices"", ""Volume""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthRate,float,omitted,"30, 77",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthRateVariation,float,omitted,"15, 3",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,blendMode,token,omitted,"""Additive"", ""Opaque""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,burstCount,int64,omitted,42,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,burstCountVariation,int64,omitted,7,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,colorEvolutionPower,float,omitted,"3, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,columnCount,int64,omitted,"5, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,dampingFactor,float,omitted,"3, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,emissionDuration,double,omitted,2,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,emissionDurationVariation,double,omitted,0.5,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,emitterShape,token,omitted,"""Box"", ""Cone"", ""Cylinder""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,endColorA,float4,omitted,"(0.0013006331, 0.9246575, 1, 1), (0.0013006331, 0.032195132, 1, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,endColorB,float4,omitted,"(0.87537456, 0.092653036, 1, 1), (1, 1, 1, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,frameRate,float,omitted,"12, 7",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,frameRateVariation,float,omitted,"5, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,idleDuration,double,omitted,0.5,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,idleDurationVariation,double,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,initialFrame,int64,omitted,"3, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,initialFrameVariation,int64,omitted,"3, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,isAnimated,bool,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,isLightingEnabled,bool,omitted,"0, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,isLocal,bool,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,isLocalFields,bool,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,isSpawningEnabled,bool,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,loops,bool,omitted,0,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,noiseAnimationSpeed,float,omitted,"7, 3",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,noiseScale,float,omitted,"5, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,noiseStrength,float,omitted,"3, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,opacityOverLife,token,omitted,"""Constant"", ""EaseFadeIn"", ""EaseFadeOut""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleAngle,float,omitted,"0.5235988, 0.7853982",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleAngleVariation,float,omitted,"0.7330383, 0.2268928",Not authored in baseline fixture.,High,Observed
